Scope,Class
 UTC + VIE described as Inert gas piping group located at PAZ/FPSOH/COF/INERT/IPN-_IG-HU74-03-_03,Piping
 VIE described as Sounding piping group located at PAZ/FPSOH/HSG/STRUC/IPN-_AS-HU86-04-_92,Piping
 VIE described as Acetylene piping group located at PAZ/FPSOH/HSG/WW   /IPN-_AC-HU84-01-_49,Piping
 VIE described as Diesel oil piping group located at PAZ/FPSOH/COF/FO   /IPN-_DO-HU71-01-_03,Piping
 VIE described as Waste water piping group located at PAZ/FPSOH/HSG/ACCOM/IPN-_WP-HU82-03-_90,Piping
 VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/SEP  /IPN-_HC-TO20-03-B03,Piping
 VIE described as ROOTS BLOWER A SILENCER located at PAZ/FPSOT/GAS/COMP /TO-VF-3170A2,Pressure Vessel (VIE)
 VIE described as Demineralised water piping group located at PAZ/FPSOT/WAT/WFLT /IPN-_TW-TO51-01-D03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/SDS  /IPN-_HL-TO29-04-H03,Piping
 BV tasks & intrusive major inspection described as STARBOARD WING BALLAST 3S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8612C,FU Items
 Visual Inspec & Function Test described as S1 PROCESS DECK PEDESTAL CRANE located at PAZ/FPSOT/COF/LIFT /HU-JA-7801B,Lifting 
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/SEP  /IPN-_HL-TO20-02-B03,Piping
 RB_PS-visual inspection of tertiary stru described as RISER BALCONY PORTSIDE located at PAZ/FPSOH/HSG/STRUC/RISER BALCONY PS,FU Items
 RB_SB-visual inspection of tertiary stru described as RISER BALCONY STARBOARD located at PAZ/FPSOH/HSG/STRUC/RISER BALCONY SB,FU Items
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-03-B03,Piping
 Non-Intrusive Intermediate Inspection described as HPU OIL TANK located at PAZ/FPSOH/CRS/SAFE /HU-TZ-020101,Non Structural Tank
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-01-B03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/OWAT /IPN-_HL-HU27-02-B50,Piping
 SCD + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-14-D49,Piping
 VIE described as CIP/EFM FILTER FILTER UNIT located at PAZ/FPSOT/WAT/WFLT /TO-VF-5120D,Pressure Vessel (VIE)
 Scrap/replace described as P8 CHILLED WATER PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/HVAC /TO-PSV-09951,Pressure Safety Device
 HU-T_-2112A/FU Tank GVI described as DESALTING TANK 1P located at PAZ/FPSOH/OIL/STAB /HU-T_-2112A,FU Items
 Non-Intrusive Major Inspection described as CORROSION INHIBITOR 1 STORAGE TANK located at PAZ/FPSOT/COF/CHEM /TO-TZ-7561,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL TANK located at PAZ/FPSOT/COF/LIFT /HU-TZ-7801B,Non Structural Tank
 VIE described as ROOTS BLOWER B SILENCER located at PAZ/FPSOT/GAS/COMP /TO-VF-3170B2,Pressure Vessel (VIE)
 VIE described as Hot water piping group located at PAZ/FPSOH/COF/HEATL/IPC-_HW-HU72-01-_01,Piping
 Non-Intrusive Intermediate Inspection described as HYDRAULIC OIL TANK located at PAZ/FPSOT/COF/LIFT /HU-TZ-7801A,Non Structural Tank
 SCD + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-26-H49,Piping
 Overhaul described as OUTLET GAS COMPRESSOR PRES SAFETY VALV A located at PAZ/FPSOT/GAS/COMP /TO-PSV2-31330A,Pressure Safety Device
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-05-B03,Piping
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-31-B03,Piping
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STAB /IPN-_HL-HU21-03-B03,Piping
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STAB /IPN-_HL-HU21-04-B03,Piping
 MACH SPACE LEVEL5/GVI described as Machinery space level -5 located at PAZ/FPSOH/HSG/STRUC/ MACH SPACE-LEVEL-5,FU Items
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STAB /IPN-_HL-HU21-02-B03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-19-B03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-23-B03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/SDS  /IPN-_HL-TO29-01-B03,Piping
 SCD + VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/TRANS/IPN-_HC-TO23-01-J70P,Piping
 SCD + VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/TRANS/IPN-_HC-TO23-03-J70P,Piping
 VIE described as Closed drain piping group located at PAZ/FPSOH/OIL/DRAIN/IPN-_CD-HU28-02-_03,Piping
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/SEP  /IPN-_HL-TO20-01-D03,Piping
 UTC + VIE described as Hydraulic fluid piping group located at PAZ/FPSOH/CRS/AIR  /IPN-_HH-HU07-05-_69,Piping
 SCD + VIE described as Flare cold piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_FC-TO36-02-D49,Piping
 BV Class Intermediate Survey described as STARBOARD WING BALLAST 5S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8612E,FU Items
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/OWAT /IPN-_HL-HU27-04-B50,Piping
 UTC + VIE described as Produced water piping group located at PAZ/FPSOH/OIL/OWAT /IPN-_PW-HU27-04-B03,Piping
 VIE described as Produced water piping group located at PAZ/FPSOH/OIL/OWAT /IPN-_PW-HU27-13-B92,Piping
 Non-Intrusive Intermediate Inspection described as HYPOCHLORITE STORAGE TANK located at PAZ/FPSOT/WAT/WFLT /TO-TR-5121,Non Structural Tank
 VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/SEP  /IPC-_HC-TO20-05-B03,Piping
 Visual inspection of tertiary structure described as P6 Structural Module located at PAZ/FPSOT/HSG/STRUC/P6,Structure
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOH/OIL/DRAIN/IPN-_HG-HU28-02-B03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STAB /IPN-_HL-HU21-09-B03,Piping
 VIE described as SRU MEMBRANE HOUSING TRAIN 1 located at PAZ/FPSOT/WAT/WDEOX/TO-VZ-5320A,Pressure Vessel (VIE)
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-13-D49,Piping
 Overhaul described as PRESSURESAFETY VALVE located at PAZ/FPSOH/OIL/OWAT /HU-PSV-279404B,Pressure Safety Device
 BV tasks & intrusive major inspection described as VOID 2 PORT located at PAZ/FPSOH/HSG/STRUC/HU-T_-8631A,FU Items
 BUOY MOORING HAWSER PS/WEAR described as BUOY MOORING HAWSER PORT SIDE located at PAZ/BUOY /OIL/LOAD /MOORING HAWSER PS,FU Items
 Visual inspection of complete structure described as R3 Structural Module located at PAZ/FPSOT/HSG/STRUC/R3,Structure
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/LOAD /IPN-_HL-TO25-08-B03,Piping
 Intrusive Major Inspection described as PUMPING UNIT B LUB OIL TANK located at PAZ/FPSOT/OIL/SDS  /TO-TZ-2901B,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HYDRAULIC STARTER TANK located at PAZ/FPSOA/CRS/EPWG /LQ-TZ-0512,Non Structural Tank
 Scrap/replace described as PRESSURE SAFETY VALVE located at PAZ/FPSOH/OIL/OWAT /HU-PSV-279401A,Pressure Safety Device
 Visual inspection of complete structure described as S5 Structural Module located at PAZ/FPSOT/HSG/STRUC/S5,Structure
 UTC + VIE described as low pressure flare piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_FL-TO36-01-B03,Piping
 Non-Intrusive Intermediate Inspection described as AIR COMPRESSOR TANK located at PAZ/FPSOT/CRS/AIR  /TO-TZ-0701A,Non Structural Tank
 TANKER MOORING HAWSER SB/WEAR MEASUR described as BUOY MOORING HAWSER STARBOARD located at PAZ/BUOY /OIL/LOAD /MOORING HAWSER SB,FU Items
 SCD + VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-21-D49,Piping
 MACH SPACE LEVEL1/GVI described as Machinery space level -1 located at PAZ/FPSOH/HSG/STRUC/ MACH SPACE-LEVEL 1,FU Items
 Intrusive Major Inspection described as FUEL DAY TANK located at PAZ/FPSOH/CRS/FWAT /HU-TA-0101D,Non Structural Tank
 Overhaul described as GLYCOL FILTER PRESSURE SAFETY VALVE located at PAZ/FPSOT/GAS/DEHYD/TO-PSV-300504,Pressure Safety Device
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/SDS  /IPC-_HL-TO29-01-B03,Piping
 Overhaul described as AERATOR PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV3-20036,Pressure Safety Device
 Non-Intrusive Intermediate Inspection described as HIGH EXPANSION FOAM BLADDER TANK A located at PAZ/FPSOH/CRS/FWAT /HU-TZ-0121A,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HIGH EXPANSION FOAM BLADDER TANK B located at PAZ/FPSOH/CRS/FWAT /HU-TZ-0121B,Non Structural Tank
 SCD + VIE described as High pressure flare piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_FH-TO36-08-G49,Piping
 UTC + VIE described as Hot water piping group located at PAZ/FPSOT/COF/HEATL/IPN-_HW-TO72-03-D01C,Piping
 UTC + VIE described as Hot water piping group located at PAZ/FPSOT/COF/HEATL/IPC-_HW-TO72-01-D01,Piping
 Non-Intrusive Intermediate Inspection described as SEPARATOR WASTE LIQUID TANK located at PAZ/FPSOT/ELE/PWG  /TO-TZ-6036D,Non Structural Tank
 PAZ/TO-FA-6080E FLAME ARRESTOR described as Hydraulic starting system flame arrestor located at PAZ/FPSOT/ELE/PWG  /TO-FA-6080E,Flame Arrestor
 VIE described as MAIN TGA FUEL GAS SEPARATOR located at PAZ/FPSOT/ELE/PWG  /TO-VZ-6040A,Pressure Vessel (VIE)
 VIE described as CIP/EFM FILTER FILTER UNIT located at PAZ/FPSOT/WAT/WFLT /TO-VF-5120B,Pressure Vessel (VIE)
 VIE described as CIP/EFM FILTER FILTER UNIT located at PAZ/FPSOT/WAT/WFLT /TO-VF-5120E,Pressure Vessel (VIE)
 TEPA Hull Side Shell GVI described as HULL FOR FPSO located at PAZ/FPSOH/HSG/STRUC/HULL,FU Items
 UTC + VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/TRANS/IPN-_HC-TO23-17-J03,Piping
 VIE described as AIR-SEALWATER SEPARATOR A located at PAZ/FPSOT/WAT/WDEOX/TO-VZ-5312A,Pressure Vessel (VIE)
 VIE described as AIR-SEALWATER SEPARATOR B located at PAZ/FPSOT/WAT/WDEOX/TO-VZ-5312B,Pressure Vessel (VIE)
 Major Intrus.insp_TO-FA-90825 FL.ARREST described as SW DISPOSAL CAISSON FLAME ARRESTOR located at PAZ/FPSOH/OIL/OWAT /TO-FA-90825,Flame Arrestor
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPN-_HG-TO31-13-H21,Piping
 Overhaul described as NITROGEN RECEIVER PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/INERT/TO-PSV-74002,Pressure Safety Device
 VIE described as HULL CHILLED WATER EXPANSION TANK located at PAZ/FPSOH/CRS/HVAC /HU-VZ-0910,Pressure Vessel (VIE)
 VIE described as HULL CHILLED WATER DOSING TANK located at PAZ/FPSOH/CRS/HVAC /HU-VZ-0911,Pressure Vessel (VIE)
 VIE described as MAIN CHW UNIT B CONDENSER COOLING B located at PAZ/FPSOH/CRS/HVAC /HU-EL-0911B,Pressure Vessel (VIE)
 VIE described as MAIN CHILLED WATER UNIT B EVAPORATOR B located at PAZ/FPSOH/CRS/HVAC /HU-EW-0911B,Pressure Vessel (VIE)
 VIE described as MAIN CHW UNIT C CONDENSER COOLING C located at PAZ/FPSOH/CRS/HVAC /HU-EL-0911C,Pressure Vessel (VIE)
 VIE described as MAIN CHILLED WATER UNIT C EVAPORATOR C located at PAZ/FPSOH/CRS/HVAC /HU-EW-0911C,Pressure Vessel (VIE)
 VIE described as CHILLED WATER HEAT EXCHANGER located at PAZ/FPSOH/HSG/UPWAT/HU-EP-8521A,Pressure Vessel (VIE)
 VIE described as CHILLED WATER HEAT EXCHANGER located at PAZ/FPSOH/HSG/UPWAT/HU-EP-8521B,Pressure Vessel (VIE)
 VIE described as Corrosion inhibitor piping group located at PAZ/FPSOT/COF/CHEM /IPN-_CI-TO75-02-_50,Piping
 VIE described as P8 CHILLED WAT UNIT CONDENSER COOLING located at PAZ/FPSOT/CRS/HVAC /TO-EL-0920B,Pressure Vessel (VIE)
 VIE described as P8 CHILLED WATER UNIT B EVAPORATOR B located at PAZ/FPSOT/CRS/HVAC /TO-EW-00920B,Pressure Vessel (VIE)
 VIE described as P1 CHILLED WATER EXPANSION TANK located at PAZ/FPSOT/CRS/HVAC /TO-VZ-0910,Pressure Vessel (VIE)
 VIE described as P1 CHILLED WATER DOSING TANK located at PAZ/FPSOT/CRS/HVAC /TO-VZ-0911,Pressure Vessel (VIE)
 VIE described as P1 CHILLED WATER BUFFER TANK located at PAZ/FPSOT/CRS/HVAC /TO-VZ-0912,Pressure Vessel (VIE)
 VIE described as P1 CHILLED WAT UNIT CONDENSER COOLING located at PAZ/FPSOT/CRS/HVAC /TO-EL-0921A,Pressure Vessel (VIE)
 VIE described as P1 CHILLED WATER UNIT A EVAPORATOR A located at PAZ/FPSOT/CRS/HVAC /TO-EW-0921A,Pressure Vessel (VIE)
 VIE described as P1 CHILLED WAT UNIT CONDENSER COOLING located at PAZ/FPSOT/CRS/HVAC /TO-EL-0921B,Pressure Vessel (VIE)
 VIE described as P1 CHILLED WATER UNIT B EVAPORATOR B located at PAZ/FPSOT/CRS/HVAC /TO-EW-0921B,Pressure Vessel (VIE)
 VIE described as FLARE & HC BLANKET GAS PACKAGE SCRUBBER located at PAZ/FPSOT/GAS/COMP /TO-V_-3170,Pressure Vessel (VIE)
 L1-Visual inspection of tertiary struc described as L1 Structural Module located at PAZ/FPSOT/HSG/STRUC/L1,Structure
 L2-Visual inspection of tertiary struc described as L2 Structural Module located at PAZ/FPSOT/HSG/STRUC/L2,Structure
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOH/OIL/OWAT /IPN-_HG-HU27-01-B03,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPN-_HG-TO31-12-J21N,Piping
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/OWAT /IPN-_HL-HU27-01-B03,Piping
 VIE described as Foam piping group located at PAZ/FPSOT/CRS/FWAT /IPN-_XN-TO01-75-_49,Piping
 VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPN-_FG-TO70-01-D01,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPN-_HG-TO31-08-B23,Piping
 VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/STAB /IPC-_HC-TO21-02-B03,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-09-H03,Piping
 VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/TRANS/IPN-_HC-TO23-13-J49,Piping
 Visual inspection of tertiary structure described as SUPERSTRUCTURE located at PAZ/FPSOH/HSG/STRUC/SUPERSTRUCTURE,FU Items
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-11-H03,Piping
 SCD + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-16-H49,Piping
 VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPN-_FG-TO70-02-D01,Piping
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOH/OIL/OWAT /IPN-_HG-HU27-02-B03,Piping
 PAZ/TO-FA-6080A FLAME ARRESTOR described as Hydraulic starting system flame arrestor located at PAZ/FPSOT/ELE/PWG  /TO-FA-6080A,Flame Arrestor
 Non-Intrusive Intermediate Inspection described as CHEMICAL INJECTION  UNIT TANK located at PAZ/FPSOT/GAS/DEHYD/TO-TZ-3001,Non Structural Tank
 VIE described as DESICCANT VESSEL AIR INSTRUMENT CYLINDER located at PAZ/FPSOT/CRS/AIR  /TO-VA-0701A-1,Pressure Vessel (VIE)
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/OIL/STAB /IPN-_HG-TO21-03-D03,Piping
 PAZ/TO-FA-6031D1 FLAME ARRESTOR described as FLAME ARRESTOR1 located at PAZ/FPSOT/ELE/PWG  /TO-FA-6031D1,Flame Arrestor
 Visual inspection of tertiary structure described as Flare Structural Module located at PAZ/FPSOT/HSG/STRUC/FLARE,Structure
 VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPN-_FG-TO70-13-B01,Piping
 VIE described as SEAWATER COARSE FILTRATION UNIT located at PAZ/FPSOT/WAT/WFLT /TO-VF-5110B,Pressure Vessel (VIE)
 VIE described as DRINKING WATER STERILISER PRE FILTER located at PAZ/FPSOH/HSG/UPWAT/HU-PF-8523B,Pressure Vessel (VIE)
 UTC + VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-18-B03,Piping
 VIE described as TOPSIDE INSTRUMENT AIR RECEIVER located at PAZ/FPSOT/CRS/AIR  /TO-VA-0704,Pressure Vessel (VIE)
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/GAS/COMP /IPN-_HL-TO31-04-B49,Piping
 UTC + VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPN-_FG-TO70-04-F01,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/SEP  /IPC-_HL-TO20-01-B03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/STAB /IPC-_HL-TO21-08-B03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/STAB /IPC-_HL-TO21-09-B03,Piping
 NDT + VIE  described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-05-B03,Piping
 VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/SEP  /IPC-_HC-TO20-04-D03,Piping
 BV tasks & intrusive major inspection described as STARBOARD WING BALLAST 4S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8612D,FU Items
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-03-B03,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/DEHYD/IPN-_HG-TO30-04-F03,Piping
 Visual inspection of tertiary structure described as S2 Structural Module located at PAZ/FPSOT/HSG/STRUC/S2,Structure
 Visual inspection of tertiary structure described as S3 Structural Module located at PAZ/FPSOT/HSG/STRUC/S3,Structure
 Major Intrus.insp_TO-FA-90011 FL.ARREST described as HULL SW DISPOSAL CAISSON FLAME ARRESTOR located at PAZ/FPSOH/WAT/WFLT /TO-FA-90011,Flame Arrestor
 SCD + VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPC-_FG-TO70-02-F49,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/SEP  /IPN-_HL-TO20-04-D03,Piping
 PAZ/TO-FA-3110 FLAME ARRESTOR described as OIL RESERVOIR FLAME ARRESTOR located at PAZ/FPSOT/GAS/COMP /TO-FA-3110,Flame Arrestor
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-29-B03,Piping
 NDT + VIE  described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-10-D03,Piping
 SCD + VIE described as low pressure flare piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_FL-TO36-03-B49,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_HL-TO36-06-D49,Piping
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/LOAD /IPN-_HL-TO25-06-D03,Piping
 UTC + VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-06-D03,Piping
 VIE described as Flare cold piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_FC-TO36-04-F49,Piping
 Lifting Inspection & test /HU-JZ-7892 described as BOW CRANE located at PAZ/FPSOH/COF/LIFT /HU-JZ-7892,Lifting 
 Non-Intrusive Intermediate Inspection described as OIL TANK located at PAZ/FPSOH/COF/LIFT /HU-TZ-7891A,Non Structural Tank
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-12-F03,Piping
 UTC + VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-19-B03,Piping
 Non-Intrusive Intermediate Inspection described as OIL COOLING WATER TANK located at PAZ/FPSOA/CRS/EPWG /LQ-TZ-0513,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HULL C.W CHEMICAL DOSING TANK located at PAZ/FPSOH/COF/COOLW/HU-TZ-7601,Non Structural Tank
 Major Instrus.insp_TO-FA-6015B1 F.ARREST described as TO LIQUID FUEL SYSTEM FLAME ARRESTOR1 located at PAZ/FPSOT/ELE/PWG  /TO-FA-6015B1,Flame Arrestor
 Major Intrus.insp_TO-FA-6015B2 FL.ARREST described as TO LIQUID FUEL SYSTEM FLAME ARRESTOR2 located at PAZ/FPSOT/ELE/PWG  /TO-FA-6015B2,Flame Arrestor
 VIE described as CRUDE OIL OFFLOADING TANDEM located at PAZ/FPSOT/OIL/LOAD /TO-V_-2501,Pressure Vessel (VIE)
 Non-Intrusive Intermediate Inspection described as HPU OIL TANK located at PAZ/FPSOH/CRS/SAFE /HU-TZ-0202A,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HPU OIL TANK located at PAZ/FPSOH/CRS/SAFE /HU-TZ-0202C,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HPU OIL TANK located at PAZ/FPSOH/CRS/SAFE /HU-TZ-0202D,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HPU OIL TANK located at PAZ/FPSOH/CRS/SAFE /HU-TZ-0202E,Non Structural Tank
 SCD + VIE described as Flare cold piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_FC-TO36-05-L49,Piping
 Visual inspection of tertiary structure described as S7 Structural Module located at PAZ/FPSOT/HSG/STRUC/S7,Structure
 VISUAL INSPECTION FWD-BALCONY TER_STR described as STRUCTURE OF FORWARD BALCONIES located at PAZ/FPSOH/HSG/STRUC/FORWARD BALCONIES,Structure
 UTC + VIE described as Starting air piping group located at PAZ/FPSOH/CRS/AIR  /IPN-_UA-HU07-02-_03,Piping
 Non-Intrusive Intermediate Inspection described as HPU OIL TANK located at PAZ/FPSOH/CRS/SAFE /HU-TZ-0202B,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as HPU OIL TANK located at PAZ/FPSOH/CRS/SAFE /HU-TZ-0202F,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as OIL TANK located at PAZ/FPSOH/CRS/SAFE /HU-TZ-0203,Non Structural Tank
 VIE described as LLP1 GAS CONDENSER located at PAZ/FPSOT/GAS/COMP /TO-ES-3111,Pressure Vessel (VIE)
 TANKER CHAFFING CHAIN SB/WEAR MEASUR described as SB MOORING TANKER SIDE located at PAZ/BUOY /OIL/LOAD /SB MOORING TANKER,FU Items
 Non-Intrusive Intermediate Inspection described as AIR COMPRESSOR TANK located at PAZ/FPSOT/CRS/AIR  /TO-TZ-0701B,Non Structural Tank
 Non-Intrusive Intermediate Inspection described as AIR COMPRESSOR TANK located at PAZ/FPSOT/CRS/AIR  /TO-TZ-0701C,Non Structural Tank
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/STAB /IPN-_HL-TO21-02-F03,Piping
 BV Class Intermediate Survey described as PORT WING BALLAST 2P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8611B,FU Items
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-01-B03,Piping
 Visual inspection of tertiary structure described as R4 Structural Module located at PAZ/FPSOT/HSG/STRUC/R4,Structure
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-18-D03,Piping
 Visual inspection of tertiary structure described as R8 Structural Module located at PAZ/FPSOT/HSG/STRUC/R8,Structure
